% R,Z,IsoLevel
3.305130772,2.585283689,45
3.322118646,2.587169638,45
3.339112511,2.589090758,45
3.356112473,2.591047679,45
3.373118642,2.593041043,45
3.390131129,2.595071502,45
3.407150047,2.597139722,45
3.424175513,2.599246383,45
3.441207643,2.601392177,45
3.458246558,2.603577807,45
3.475292381,2.605803994,45
3.492345235,2.60807147,45
3.50940525,2.610380983,45
3.526472554,2.612733294,45
3.543547279,2.615129182,45
3.560629561,2.617569438,45
3.577719537,2.620054871,45
3.594817348,2.622586305,45
3.611923137,2.62516458,45
3.62903705,2.627790555,45
3.646159236,2.630465104,45
3.663289847,2.63318912,45
3.680429039,2.635963514,45
3.697576968,2.638789213,45
3.714733797,2.641667167,45
3.731899691,2.644598342,45
3.749074817,2.647583725,45
3.766259347,2.650624323,45
3.766666667,2.65068976,45
3.783333333,2.653642991,45
3.783443626,2.653663447,45
3.800603521,2.656559406,45
3.817772528,2.65950886,45
3.834950818,2.66251282,45
3.852138568,2.665572321,45
3.869335956,2.668688417,45
3.886543168,2.671862188,45
3.90376039,2.675094734,45
3.920987814,2.678387182,45
3.938225636,2.68174068,45
3.955474056,2.685156403,45
3.972733278,2.68863555,45
3.990003511,2.692179347,45
4.007284969,2.695789047,45
4.024577868,2.699465929,45
4.041882433,2.703211299,45
4.059198889,2.707026493,45
4.07652747,2.710912874,45
4.093868412,2.714871838,45
4.111221959,2.718904806,45
4.128588358,2.723013234,45
4.145967862,2.727198607,45
4.16336073,2.731462443,45
4.180767225,2.735806293,45
4.198187617,2.740231738,45
4.215622182,2.744740398,45
4.233071201,2.749333923,45
4.233333333,2.749396476,45
4.25,2.753637533,45
4.250524651,2.753782328,45
4.267987891,2.758199518,45
4.285466297,2.762700806,45
4.302960181,2.767287922,45
4.320469861,2.771962633,45
4.337995663,2.776726747,45
4.355537921,2.781582108,45
4.373096975,2.786530604,45
4.390673171,2.791574162,45
4.408266865,2.79671475,45
4.425878419,2.801954378,45
4.443508205,2.8072951,45
4.461156599,2.812739011,45
4.478823987,2.818288253,45
4.496510764,2.823945008,45
4.514217332,2.829711506,45
4.5319441,2.835590021,45
4.549691487,2.841582874,45
4.55,2.841677979,45
4.566666667,2.847121691,45
4.567404399,2.84738455,45
4.585115891,2.853178355,45
4.60284802,2.859086601,45
4.62060123,2.865111739,45
4.638375969,2.871256269,45
4.656172699,2.877522738,45
4.673991888,2.883913745,45
4.691834012,2.890431938,45
4.709699559,2.897080013,45
4.727589023,2.903860718,45
4.745502909,2.910776848,45
4.763441731,2.917831248,45
4.781406009,2.925026814,45
4.799396275,2.932366487,45
4.8,2.932592069,45
4.816666667,2.939289571,45
4.8174134,2.939611524,45
4.835458413,2.946805177,45
4.853531792,2.954146877,45
4.871634146,2.961639798,45
4.889766094,2.969287168,45
4.907928261,2.977092259,45
4.926121285,2.985058392,45
4.944345811,2.993188929,45
4.962602489,3.001487278,45
4.980891983,3.009956889,45
4.999214959,3.018601248,45
5,3.018943523,45
5.016666667,3.026732011,45
5.017521709,3.02716092,45
5.035818357,3.03566787,45
5.05414949,3.0443548,45
5.072515815,3.053225397,45
